zero crossings,amplitude,duration,envelope symmetry,event,start,end,species,height,recording
1.0,0.6766,0.21,0.44233,bite,0.24050300000000002,0.8405030000000001,alfalfa,tall,recording_01
1.0,0.63056,0.24,0.47942,bite,1.00985,1.64985,alfalfa,tall,recording_01
1.0,0.46561,0.16,0.45173,bite,1.962504,2.482504,alfalfa,tall,recording_01
1.0,0.69775,0.3,0.47298,chew-bite,2.64,3.24,alfalfa,tall,recording_01
1.0,0.10112,0.09,0.52925,chew,3.36,4.0,alfalfa,tall,recording_01
3.0,0.58076,0.39,0.47872,chew-bite,4.12,4.76,alfalfa,tall,recording_01
3.0,0.45869,0.38,0.46235,chew-bite,5.04,5.68,alfalfa,tall,recording_01
3.0,0.53343,0.35,0.58899,chew-bite,5.92,6.64,alfalfa,tall,recording_01
3.0,0.32655,0.36,0.5361,chew-bite,6.88,7.6,alfalfa,tall,recording_01
5.0,0.26101,0.29,0.50869,chew,7.76,8.48,alfalfa,tall,recording_01
3.0,0.65485,0.4,0.47579,chew-bite,8.56,9.28,alfalfa,tall,recording_01
3.0,0.13314,0.24,0.45519,chew,9.353957000000001,9.967811,alfalfa,tall,recording_01
7.0,0.47106,0.4,0.46382,chew-bite,10.32,10.96,alfalfa,tall,recording_01
3.0,0.4482,0.34,0.59601,chew-bite,11.16,11.8,alfalfa,tall,recording_01
1.0,0.10997,0.15,0.49428,chew,11.92,12.6,alfalfa,tall,recording_01
3.0,0.55962,0.29,0.61543,chew-bite,12.68,13.32,alfalfa,tall,recording_01
3.0,0.45072,0.3,0.54602,chew-bite,13.56,14.2,alfalfa,tall,recording_01
3.0,0.64962,0.31,0.55106,chew-bite,14.44,15.28,alfalfa,tall,recording_01
1.0,0.13266,0.14,0.5219,chew,15.36,16.04,alfalfa,tall,recording_01
3.0,0.6721,0.32,0.57522,chew-bite,16.24,16.8,alfalfa,tall,recording_01
1.0,0.49077,0.28,0.51866,chew-bite,17.16,17.8,alfalfa,tall,recording_01
3.0,0.4345,0.37,0.53503,chew-bite,18.12,18.76,alfalfa,tall,recording_01
3.0,0.62004,0.29,0.50275,bite,18.896399,19.585795,alfalfa,tall,recording_01
1.0,0.58883,0.36,0.43867,chew-bite,19.8,20.48,alfalfa,tall,recording_01
7.0,0.29747,0.35,0.48985,chew,20.7614,21.280253,alfalfa,tall,recording_01
3.0,0.65585,0.33,0.5366,chew-bite,21.624225,22.28,alfalfa,tall,recording_01
2.0,0.30423,0.34,0.57304,chew-bite,22.529882999999998,23.151044,alfalfa,tall,recording_01
1.0,0.13833,0.18,0.41095,chew,24.48,25.32,alfalfa,tall,recording_01
1.0,0.2576,0.2,0.53203,chew,25.4,26.122659,alfalfa,tall,recording_01
1.0,0.1214,0.18,0.47752,chew,26.28,27.04,alfalfa,tall,recording_01
1.0,0.15859,0.19,0.52912,chew,27.12,27.92,alfalfa,tall,recording_01
1.0,0.14548,0.2,0.46036,chew,28.0,28.72,alfalfa,tall,recording_01
1.0,0.13087,0.17,0.44034,chew,28.8,29.6,alfalfa,tall,recording_01
3.0,0.1559,0.19,0.46335,chew,29.72,30.44,alfalfa,tall,recording_01
1.0,0.12246,0.16,0.47166,chew,30.52,31.24,alfalfa,tall,recording_01
1.0,0.10546,0.14,0.38163,chew,31.32,32.12,alfalfa,tall,recording_01
1.0,0.082925,0.15,0.38356,chew,32.219277000000005,32.939277000000004,alfalfa,tall,recording_01
1.0,0.12887,0.18,0.49689,chew,33.08,33.76,alfalfa,tall,recording_01
1.0,0.10029,0.15,0.50191,chew,33.88,34.6,alfalfa,tall,recording_01
3.0,0.10652,0.17,0.56583,chew,34.76,35.435697,alfalfa,tall,recording_01
1.0,0.1126,0.18,0.52293,chew,35.68,36.388089,alfalfa,tall,recording_01
1.0,0.099639,0.16,0.5348,chew,36.809844,37.609844,alfalfa,tall,recording_01
1.0,0.068324,0.13,0.44032,chew,37.771603999999996,38.451603999999996,alfalfa,tall,recording_01
1.0,0.07582,0.08,0.4554,chew,38.6,39.264503999999995,alfalfa,tall,recording_01
1.0,0.072252,0.11,0.52056,chew,39.6,40.414107,alfalfa,tall,recording_01
1.0,0.11418,0.16,0.48053,chew,40.59689,41.39689,alfalfa,tall,recording_01
1.0,0.092396,0.15,0.50498,chew,41.50118,42.141339,alfalfa,tall,recording_01
